trial,first_quartile_theta_mean,last_quartile_theta_mean,angle_ratio_last_over_first,cosine_gain_last_over_first
1,19.16354549230665,16.34709537206459,0.8530308433075318,0.015045106410980225
2,20.235913314205124,18.714249155901577,0.924803781540447,0.008679072062174553
3,20.38518908085989,19.525858889100498,0.957845365654899,0.005058070023854611
4,21.41075517791175,19.1349847328316,0.8937090062368314,0.013815641403198242
5,21.895010720874634,20.783523249339627,0.9492355822198654,0.0069689154624938965
6,18.838695890636505,17.76712606804325,0.9431186835429589,0.005890289942423466
7,21.92401775156065,21.42276874992855,0.9771369916174959,0.0033045212427775805
8,20.70285172293233,19.161478370248854,0.9255477760594637,0.009686748186747307
9,22.26601381854215,20.846696280474813,0.9362563254638155,0.009065071741739983
10,21.928459114787486,19.931998757076382,0.908955738875205,0.012509346008300781
